checklist_id,observation_date
S67937133,2020-04-27
S68045064,2020-04-29
S68006668,2020-04-28
S66402855,2020-03-30
S67691101,2020-04-23
S67427117,2020-04-18
S70441909,2020-06-14
S62927660,2020-01-02
S70458999,2020-06-15
S70416656,2020-06-14
S70405102,2020-06-13
S73022290,2020-08-31
S70904782,2020-06-28
S76460078,2020-11-20
S69964049,2020-06-02
S73162140,2020-09-04
S64557579,2020-02-16
S72338517,2020-08-12
S71613717,2020-07-18
S78122996,2020-12-28
S69747174,2020-05-28
S71680104,2020-07-20
S71565827,2020-07-17
S70093427,2020-06-05
S74632313,2020-10-10
S64386051,2020-02-12
S64561435,2020-02-16
S68207894,2020-05-01
S72152822,2020-08-06
S65450825,2020-03-05
S75244701,2020-10-23
S72207980,2020-08-08
S74800948,2020-10-14
S65606294,2020-03-09
S74728476,2020-10-12
S66394751,2020-03-30
S72096714,2020-08-04
S70002678,2020-06-03
S66158313,2020-03-24
S69925068,2020-06-01
S70072840,2020-06-05
S72763741,2020-08-24
S66763940,2020-04-07
S66562371,2020-04-03
S72975256,2020-08-30
S69303514,2020-05-19
S68784251,2020-05-10
S66251086,2020-03-26
S75552142,2020-10-29
S75832831,2020-11-04
S70802761,2020-06-25
S62948799,2020-01-03
S70560598,2020-06-18
S70591760,2020-06-19
S70868492,2020-06-27
S71192943,2020-07-06
S64527028,2020-02-15
S63691930,2020-01-23
S63899742,2020-01-29
S65482933,2020-03-06
S65419964,2020-03-04
S66123768,2020-03-23
S64581916,2020-02-16
S62958911,2020-01-03
S76664448,2020-11-25
S66499861,2020-04-01
S76970124,2020-12-02
S66545957,2020-04-02
S75655764,2020-10-31
S77180179,2020-12-07
S76072705,2020-11-10
S66789190,2020-04-07
S75291655,2020-10-24
S66710406,2020-04-06
S74592864,2020-10-09
S74712082,2020-10-11
S74446533,2020-10-05
S74522874,2020-10-07
S73200839,2020-09-05
S73246602,2020-09-06
S73292021,2020-09-07
S73279018,2020-09-06
S66015063,2020-03-20
S72888025,2020-08-27
S67300316,2020-04-16
S71731078,2020-07-22
S72197609,2020-08-07
S67691713,2020-04-23
S67882640,2020-04-27
S67709752,2020-04-24
S68282393,2020-05-02
S68909454,2020-05-12
S69196094,2020-05-17
S72569034,2020-08-19
S72113105,2020-08-04
S71661687,2020-07-20
S71648930,2020-07-19
S71693011,2020-07-21
S69862051,2020-05-30
S70268038,2020-06-10
S70291112,2020-06-10
S71770278,2020-07-24
S71802804,2020-07-25
S71628153,2020-07-19
S70948304,2020-06-29
S69730457,2020-05-27
S64493380,2020-02-15
